60,40
50,90
70,40
90,70
50,50
80,40
190,40
150,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
150,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
150,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
150,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
150,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
150,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
150,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
150,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
150,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
150,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
150,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
150,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
150,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
150,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
60,40
50,90
70,40
90,70
50,50
80,40
190,40
60,40
